0.01620,0.02520,0.03990
0.02100,0.02390,0.16000
0.03100,0.03180,0.37000
0.02920,0.03300,0.51300
0.02490,0.04240,0.58400
0.01980,0.04770,0.66400
0.01830,0.06030,0.71500
0.02160,0.18700,0.73700
0.02790,0.50700,0.71000
0.03060,0.75000,0.64800
0.03430,0.89500,0.52400
0.04300,0.96200,0.40000
0.06260,0.98200,0.27400
0.07580,1.00000,0.19800
0.06080,0.98100,0.15800
0.04750,0.92100,0.11300
0.04770,0.86100,0.08040
0.06430,0.77900,0.06120
0.30800,0.66700,0.05340
0.70900,0.51500,0.04620
0.73300,0.37000,0.03870
0.66200,0.23800,0.03150
0.57500,0.15700,0.02740
0.48800,0.11100,0.02640
0.40600,0.08330,0.02800
0.33300,0.06500,0.02940
0.24800,0.05120,0.02810
0.15000,0.03850,0.02120
0.05880,0.02190,0.01050
0.01370,0.00985,0.00402
0.00730,0.00780,0.00316
